DATE,GROSS SALES,OVER,SHORT,file_name,month,year
21,5732.5,0.0,0.0,festival kiosk.xls,10,2019
22,11272.5,0.0,0.0,festival kiosk.xls,10,2019
23,8182.5,0.0,0.0,festival kiosk.xls,10,2019
24,5940.38,0.12,0.0,festival kiosk.xls,10,2019
25,4949.0,0.0,0.0,festival kiosk.xls,10,2019
26,7765.0,0.0,0.0,festival kiosk.xls,10,2019
27,9880.25,0.0,0.0,festival kiosk.xls,10,2019
28,4294.0,0.0,0.0,festival kiosk.xls,10,2019
29,703.5,0.0,0.0,festival kiosk.xls,10,2019
30,12985.5,0.0,0.0,festival kiosk.xls,10,2019
31,3491.0,0.0,0.0,festival kiosk.xls,10,2019
1,10791.5,0.0,0.0,festival kiosk.xls,11,2019
2,8697.5,0.0,0.0,festival kiosk.xls,11,2019
3,10378.15,0.35,0.0,festival kiosk.xls,11,2019
4,5923.5,0.0,0.0,festival kiosk.xls,11,2019
5,3392.5,0.0,0.0,festival kiosk.xls,11,2019
6,5914.0,0.0,0.0,festival kiosk.xls,11,2019
7,1375.5,0.0,0.0,festival kiosk.xls,11,2019
8,4511.25,0.0,0.0,festival kiosk.xls,11,2019
9,4724.5,0.0,0.0,festival kiosk.xls,11,2019
10,9066.63,0.37,0.0,festival kiosk.xls,11,2019
11,9110.0,0.0,0.0,festival kiosk.xls,11,2019
12,3492.5,5.0,0.0,festival kiosk.xls,11,2019
13,15371.23,0.27,0.0,festival kiosk.xls,11,2019
14,5721.5,0.0,0.0,festival kiosk.xls,11,2019
15,4389.75,0.0,0.0,festival kiosk.xls,11,2019
16,13295.0,0.0,0.0,festival kiosk.xls,11,2019
17,13196.0,0.0,0.0,festival kiosk.xls,11,2019
18,3557.75,0.0,0.0,festival kiosk.xls,11,2019
19,11286.5,0.0,0.0,festival kiosk.xls,11,2019
20,6276.0,0.0,0.0,festival kiosk.xls,11,2019
21,3284.5,0.0,0.0,festival kiosk.xls,11,2019
22,3148.5,0.0,0.0,festival kiosk.xls,11,2019
23,7943.5,0.0,0.0,festival kiosk.xls,11,2019
24,10787.5,0.0,0.0,festival kiosk.xls,11,2019
25,10161.0,0.0,0.0,festival kiosk.xls,11,2019
26,7920.5,0.0,0.0,festival kiosk.xls,11,2019
27,9120.0,0.0,0.0,festival kiosk.xls,11,2019
28,6433.75,0.0,0.0,festival kiosk.xls,11,2019
29,10859.5,0.0,0.0,festival kiosk.xls,11,2019
30,13206.5,0.0,0.0,festival kiosk.xls,11,2019
1,21934.0,0.0,0.0,festival kiosk.xls,12,2019
2,14724.25,0.0,0.0,festival kiosk.xls,12,2019
3,4311.5,0.0,0.0,festival kiosk.xls,12,2019
4,3827.0,0.0,0.0,festival kiosk.xls,12,2019
5,12763.75,0.0,0.0,festival kiosk.xls,12,2019
6,14966.25,0.0,0.0,festival kiosk.xls,12,2019
7,27218.0,0.0,0.0,festival kiosk.xls,12,2019
8,20846.5,0.0,0.0,festival kiosk.xls,12,2019
9,17624.5,0.0,0.0,festival kiosk.xls,12,2019
10,15271.0,0.0,0.0,festival kiosk.xls,12,2019
11,16428.5,0.0,0.0,festival kiosk.xls,12,2019
12,17654.5,0.0,0.0,festival kiosk.xls,12,2019
13,18678.5,0.0,0.0,festival kiosk.xls,12,2019
14,34228.5,0.0,1095.0,festival kiosk.xls,12,2019
15,35057.25,0.0,0.0,festival kiosk.xls,12,2019
16,20243.5,0.0,0.0,festival kiosk.xls,12,2019
17,8719.0,0.0,0.0,festival kiosk.xls,12,2019
18,24431.25,0.0,0.0,festival kiosk.xls,12,2019
19,30207.0,0.0,0.0,festival kiosk.xls,12,2019
20,35273.5,0.0,0.0,festival kiosk.xls,12,2019
21,49157.75,0.0,0.0,festival kiosk.xls,12,2019
22,45283.75,0.0,0.0,festival kiosk.xls,12,2019
23,39839.5,0.0,0.0,festival kiosk.xls,12,2019
24,21882.75,0.0,0.0,festival kiosk.xls,12,2019
25,22061.5,0.0,0.0,festival kiosk.xls,12,2019
26,27975.0,0.0,0.0,festival kiosk.xls,12,2019
27,24618.5,0.0,0.0,festival kiosk.xls,12,2019
28,23045.4,0.0,0.81,festival kiosk.xls,12,2019
29,27308.5,0.0,0.0,festival kiosk.xls,12,2019
30,20866.5,0.0,0.0,festival kiosk.xls,12,2019
31,8222.5,0.0,0.0,festival kiosk.xls,12,2019
1,5760.0,0.0,0.0,sm cagayan.xls,1,2019
2,8916.5,0.0,0.0,sm cagayan.xls,1,2019
3,1742.5,0.0,0.0,sm cagayan.xls,1,2019
4,12240.5,0.0,0.0,sm cagayan.xls,1,2019
5,2611.0,0.0,0.0,sm cagayan.xls,1,2019
6,6389.5,0.0,200.0,sm cagayan.xls,1,2019
7,2222.0,0.0,0.0,sm cagayan.xls,1,2019
8,3031.0,0.0,0.0,sm cagayan.xls,1,2019
9,3638.0,0.0,0.0,sm cagayan.xls,1,2019
10,2270.0,0.0,0.0,sm cagayan.xls,1,2019
11,3722.5,0.0,0.0,sm cagayan.xls,1,2019
12,1560.0,0.0,0.0,sm cagayan.xls,1,2019
13,6884.5,0.0,0.0,sm cagayan.xls,1,2019
14,1675.0,0.0,0.0,sm cagayan.xls,1,2019
15,2255.0,0.0,0.0,sm cagayan.xls,1,2019
16,2257.5,0.0,0.0,sm cagayan.xls,1,2019
17,2422.5,0.0,0.0,sm cagayan.xls,1,2019
18,3843.5,0.0,0.0,sm cagayan.xls,1,2019
19,1655.0,0.0,0.0,sm cagayan.xls,1,2019
20,1963.0,0.0,0.0,sm cagayan.xls,1,2019
21,1435.37,0.0,0.0,sm cagayan.xls,1,2019
22,5435.0,0.0,0.0,sm cagayan.xls,1,2019
23,3349.5,0.0,0.0,sm cagayan.xls,1,2019
24,180.0,0.0,0.0,sm cagayan.xls,1,2019
25,1036.0,0.0,0.0,sm cagayan.xls,1,2019
26,3737.5,0.0,0.0,sm cagayan.xls,1,2019
27,3708.5,0.0,0.0,sm cagayan.xls,1,2019
28,9676.0,0.0,0.0,sm cagayan.xls,1,2019
29,7185.0,0.0,0.0,sm cagayan.xls,1,2019
30,3942.5,0.0,0.0,sm cagayan.xls,1,2019
31,867.5,0.0,0.0,sm cagayan.xls,1,2019
1,2671.0,0.0,0.0,sm cagayan.xls,2,2019
2,4137.5,0.0,0.0,sm cagayan.xls,2,2019
3,528.5,0.0,0.0,sm cagayan.xls,2,2019
4,1072.5,0.0,0.0,sm cagayan.xls,2,2019
5,1365.0,0.0,0.0,sm cagayan.xls,2,2019
6,3521.0,0.0,0.0,sm cagayan.xls,2,2019
7,4809.0,0.0,0.0,sm cagayan.xls,2,2019
8,1865.0,0.0,0.0,sm cagayan.xls,2,2019
9,5298.5,0.0,0.0,sm cagayan.xls,2,2019
10,5401.0,0.0,0.0,sm cagayan.xls,2,2019
11,877.5,0.0,0.0,sm cagayan.xls,2,2019
12,3549.0,0.0,0.0,sm cagayan.xls,2,2019
13,3012.5,0.0,0.0,sm cagayan.xls,2,2019
14,9863.75,0.0,0.0,sm cagayan.xls,2,2019
15,3975.5,0.0,0.0,sm cagayan.xls,2,2019
16,4407.0,0.0,0.0,sm cagayan.xls,2,2019
17,1993.5,0.0,0.0,sm cagayan.xls,2,2019
18,2124.0,0.0,0.0,sm cagayan.xls,2,2019
19,445.0,0.0,0.0,sm cagayan.xls,2,2019
20,5072.0,0.0,0.0,sm cagayan.xls,2,2019
21,3175.0,0.0,0.0,sm cagayan.xls,2,2019
22,543.5,0.0,0.0,sm cagayan.xls,2,2019
23,992.5,0.0,0.0,sm cagayan.xls,2,2019
24,3660.5,0.0,0.0,sm cagayan.xls,2,2019
25,498.5,0.0,0.0,sm cagayan.xls,2,2019
26,3617.5,0.0,0.0,sm cagayan.xls,2,2019
27,1863.0,0.0,0.0,sm cagayan.xls,2,2019
28,2015.0,0.0,0.0,sm cagayan.xls,2,2019
1,852.5,0.0,0.0,sm cagayan.xls,3,2019
2,1881.0,0.0,0.0,sm cagayan.xls,3,2019
3,3228.5,0.0,0.0,sm cagayan.xls,3,2019
4,6270.5,0.0,0.0,sm cagayan.xls,3,2019
5,3758.0,0.0,0.0,sm cagayan.xls,3,2019
6,1087.5,0.0,0.0,sm cagayan.xls,3,2019
7,6635.5,0.0,0.0,sm cagayan.xls,3,2019
8,1846.0,0.0,0.0,sm cagayan.xls,3,2019
9,5931.0,0.0,0.0,sm cagayan.xls,3,2019
10,3345.5,0.0,0.0,sm cagayan.xls,3,2019
11,3967.0,0.0,0.0,sm cagayan.xls,3,2019
